SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Argentina,3381969,8,80772.28,4.303
APF,2018,Argentina,3388764,36,77571.55,4.8786
APF,2018,Argentina,3398522,6,26309.5,2.1733
APF,2018,Argentina,3404023,6,31822.99,1.68
APF,2018,Argentina,3409169,5,17779.52,1.06
APF,2018,Argentina,3423471,5,7253.53,0.53
APF,2018,Argentina,3428594,43,72596.21,4.1248
APF,2018,Argentina,3433422,6,62157.81,3.18
APF,2018,Argentina,3438985,2,6694.52,0.975
APF,2018,Argentina,3447020,2,3860.03,0.095229
APF,2018,Argentina,3458867,3,28945.89,1.59
APF,2018,Argentina,3462192,3,394553.41,22.4946
APF,2018,Argentina,3467181,2,85270.47,12.125
APF,2018,Argentina,3469939,12,16263.75,0.988958
APF,2018,Argentina,3524596,1,54261.01,3.922
APF,2018,Argentina,3553146,18,50755.39,2.7772
APF,2018,Argentina,3590441,8,-21806.49,-1.59
APF,2018,Argentina,3619658,6,15617.11,0.736
APF,2018,Argentina,3669718,3,2012.28,0.44
APF,2018,Argentina,3680124,11,62976.4,3.073
APF,2018,Argentina,3683873,10,22965.87,1.06
APF,2018,Argentina,3692210,22,152341.42,7.17019
APF,2018,Argentina,3692211,26,130887.15,6.381855
APF,2018,Argentina,3734545,9,-1160.39,0
APF,2018,Argentina,3746501,1,4013.91,0.212
APF,2018,Argentina,3746752,5,48329.05,2.9204
APF,2018,Argentina,3770420,17,280766.6,14.50718
APF,2018,Argentina,3787731,2,26380.36,1.5688
APF,2018,Argentina,3792471,11,-639.85,0
APF,2018,Argentina,3813256,6,131191.02,5.9976
APF,2018,Argentina,3829551,6,68199.26,3.18
APF,2018,Argentina,3836345,14,167485.35,9.2292
APF,2018,Argentina,3837910,4,171545.52,7.812
APF,2018,Argentina,3837969,9,14176.27,1.0968
APF,2018,Argentina,3842625,6,50626.98,3.18
APF,2018,Argentina,3842763,3,7877.08,0.222
APF,2018,Argentina,3848320,19,73466.38,3.809
APF,2018,Argentina,3862802,4,48897.97,1.986332
APF,2018,Argentina,3876015,13,9887.08,0.6452
APF,2018,Argentina,3877159,1,39549.6,1.7808
APF,2018,Argentina,3898946,15,98380.86,5.1704
APF,2018,Argentina,3902823,9,67802.65,3.15
APF,2018,Argentina,3914335,13,5573.63,0.71
APF,2018,Argentina,3973356,16,17993.44,1.06
APF,2018,Argentina,3999997,74,501889.27,56.413834
APF,2018,Argentina,4030792,23,80133.94,4.648585
APF,2018,Argentina,4109985,9,1051.39,0
APF,2018,Argentina,4238658,12,96305.51,8.242
APF,2018,Argentina,4261417,1,118090.89,5.25
APF,2018,Argentina,4269665,8,19248.58,0.8424
APF,2018,Argentina,4279077,5,55240.63,2.12
APF,2018,Argentina,4279188,8,17836.7,0.884
APF,2018,Argentina,4304466,14,23411.95,1.378
APF,2018,Argentina,4313407,24,121179.26,7.143
APF,2018,Argentina,4333375,3,12995.95,0.742
APF,2018,Argentina,4344457,5,3727.36,0.2332
APF,2018,Argentina,4384167,5,109611.92,5.175
APF,2018,Argentina,4398104,9,7448.61,0.424
APF,2018,Argentina,4439157,2,71082.04,4.77
APF,2018,Argentina,4510187,32,322134.67,17.75
APF,2018,Argentina,4537306,5,57884.16,2.688
APF,2018,Argentina,4545909,11,0,0
APF,2018,Argentina,4581177,3,20114.48,3.02
APF,2018,Argentina,4598894,4,3022.66,0.1484
APF,2018,Argentina,4609751,10,42572.8,2.01
APF,2018,Argentina,4655590,15,238583.98,14.0278
APF,2018,Argentina,4657684,7,9143.36,0.53
APF,2018,Argentina,4673900,4,16794.68,1.06
APF,2018,Argentina,4697005,8,8080.91,0.9398
APF,2018,Argentina,4698439,5,2006.5,0.106
APF,2018,Argentina,4737654,4,47189.38,5.9
